Cód.,Persona ID,Persona,CUIT/CUIL/CDI,MC Cód.,MC,Tipo Cuenta,Entidad Bursátil
1445,14735,VALFINSA BURSATIL SA,33640741649,445,VALFINSA BURSATIL SA,Terceros,MtR
14107,14735,VALFINSA BURSATIL SA,33640741649,445,VALFINSA BURSATIL SA,Propia,MtR
1446,5412,MILLS CAPITAL MARKETS S.A.,30710334249,446,MILLS CAPITAL MARKETS S.A.,Terceros,MtR
15875,5412,MILLS CAPITAL MARKETS S.A.,30710334249,446,MILLS CAPITAL MARKETS S.A.,Propia,MtR
145100,4533,BANCO DE VALORES S A,30576124275,446,MILLS CAPITAL MARKETS S.A.,CER,MtR
1447,6783,NAVARRO VIOLA Y CIA S A,30547721264,447,NAVARRO VIOLA Y CIA S A,Terceros,MtR
15899,6783,NAVARRO VIOLA Y CIA S A,30547721264,447,NAVARRO VIOLA Y CIA S A,Propia,MtR
1448,7964,PROSECURITIES S.A,30709167975,448,PROSECURITIES S.A,Terceros,MtR
15916,7964,PROSECURITIES S.A,30709167975,448,PROSECURITIES S.A,Propia,MtR
1451,16533,RAVA BURSATIL SA,30595025024,451,RAVA BURSATIL SA,Terceros,MtR
18457,16533,RAVA BURSATIL SA,30595025024,451,RAVA BURSATIL SA,Propia,MtR
1457,6934,INTERVALORES GROUP S. A.,30651549600,457,INTERVALORES GROUP S. A.,Terceros,MtR
19988,6934,INTERVALORES GROUP S. A.,30651549600,457,INTERVALORES GROUP S. A.,Propia,MtR
1458,6672,LONGO ELIA BURSATIL  S A,30657443502,458,LONGO ELIA BURSATIL  S A,Terceros,MtR
20863,6672,LONGO ELIA BURSATIL  S A,30657443502,458,LONGO ELIA BURSATIL  S A,Propia,MtR
1046,66,COMERCIO INTERIOR S A,30645289826,46,COMERCIO INTERIOR S A,Terceros,MtR
2061,66,COMERCIO INTERIOR S A,30645289826,46,COMERCIO INTERIOR S A,Propia,MtR
1461,14046,AURUM VALORES SA AGENTE DE LIQUIDACION Y COMPENSACION Y AGENTE DE NEGOCIACION PROPIO,30714549835,461,AURUM VALORES SA AGENTE DE LIQUIDACION Y COMPENSACION Y AGENTE DE NEGOCIACION PROPIO,Terceros,MtR
21374,14046,AURUM VALORES SA AGENTE DE LIQUIDACION Y COMPENSACION Y AGENTE DE NEGOCIACION PROPIO,30714549835,461,AURUM VALORES SA AGENTE DE LIQUIDACION Y COMPENSACION Y AGENTE DE NEGOCIACION PROPIO,Propia,MtR
1462,19348,ARPENTA VALORES S.A,30708724668,462,ARPENTA VALORES S.A,Terceros,MtR
21382,19348,ARPENTA VALORES S.A,30708724668,462,ARPENTA VALORES S.A,Propia,MtR
1466,20990,TOMAR INVERSIONES S.A.,30714446467,466,TOMAR INVERSIONES S.A.,Terceros,MtR
23177,20990,TOMAR INVERSIONES S.A.,30714446467,466,TOMAR INVERSIONES S.A.,Propia,MtR
1469,22959,COMPAÑIA GLOBAL DE INVERSIONES S.A,30708813547,469,COMPAÑIA GLOBAL DE INVERSIONES S.A,Terceros,MtR
25545,22959,COMPAÑIA GLOBAL DE INVERSIONES S.A,30708813547,469,COMPAÑIA GLOBAL DE INVERSIONES S.A,Propia,MtR
102300,4046,AGROINVERSIONES PAMPEANAS S.A.,30709190322,47,AGROINVERSIONES PAMPEANAS S.A.,Propia,MtR
1047,4046,AGROINVERSIONES PAMPEANAS S.A.,30709190322,47,AGROINVERSIONES PAMPEANAS S.A.,Terceros,MtR
1474,13909,SAILING S.A.,30714728047,474,SAILING S.A.,Terceros,MtR
26278,13909,SAILING S.A.,30714728047,474,SAILING S.A.,Propia,MtR
1475,24906,GMA CAPITAL S.A.,33711585619,475,GMA CAPITAL S.A.,Terceros,MtR
27693,24906,GMA CAPITAL S.A.,33711585619,475,GMA CAPITAL S.A.,Propia,MtR
1476,28570,CONO SUR INVERSIONES S.A.,30715199579,476,CONO SUR INVERSIONES S.A.,Terceros,MtR
31605,28570,CONO SUR INVERSIONES S.A.,30715199579,476,CONO SUR INVERSIONES S.A.,Propia,MtR
1478,29751,AR PARTNERS S.A.,30685182226,478,AR PARTNERS S.A.,Terceros,MtR
32831,29751,AR PARTNERS S.A.,30685182226,478,AR PARTNERS S.A.,Propia,MtR
